Name,firms,establishments
Alachua,,
Alachua,81,88
Alachua,355,363
Alachua,712,807
Bay,,
Bay,109,115
Bay,230,234
Bay,463,549
Bradford,,
Bradford,25,25
Bradford,34,40
Brevard,9,19
Brevard,295,310
Brevard,958,990
Brevard,1324,1600
Broward,23,37
Broward,1608,1722
Broward,3853,4152
Broward,5830,6614
Calhoun,,
Calhoun,21,22
Charlotte,12,14
Charlotte,77,80
Charlotte,275,287
Charlotte,435,514
Citrus,7,27
Citrus,52,52
Citrus,176,177
Citrus,307,393
Clay,96,96
Clay,238,245
Clay,402,512
Collier,,
Collier,235,237
Collier,951,987
Collier,955,1143
Columbia,,
Columbia,38,39
Columbia,54,54
Columbia,161,185
DeSoto,26,28
DeSoto,32,32
DeSoto,39,46
Dixie,,
Dixie,9,9
Dixie,9,11
Duval,,
Duval,918,1096
Duval,1534,1866
Duval,2123,2861
Escambia,,
Escambia,165,179
Escambia,364,380
Escambia,603,834
Flagler,64,64
Flagler,177,182
Flagler,202,230
Franklin,4,4
Franklin,9,9
Franklin,17,19
Gadsden,,
Gadsden,20,20
Gadsden,35,36
Gadsden,53,56
Gilchrist,8,10
Gilchrist,16,16
Gilchrist,19,21
Glades,,
Glades,9,10
Glades,,
Gulf,,
Gulf,7,7
Gulf,12,12
Gulf,23,25
Hamilton,,
Hamilton,6,6
Hamilton,,
Hardee,4,4
Hardee,13,13
Hardee,18,18
Hardee,46,64
Hendry,4,4
Hendry,18,18
Hendry,31,31
Hendry,50,61
Hernando,83,86
Hernando,211,215
Hernando,412,550
Highlands,10,12
Highlands,46,46
Highlands,102,103
Highlands,248,309
Hillsborough,12,28
Hillsborough,834,920
Hillsborough,2136,2399
Hillsborough,3178,4107
Holmes,,
Holmes,9,9
Holmes,24,28
Indian River,,
Indian River,78,78
Indian River,347,352
Indian River,444,495
Jackson,3,5
Jackson,,
Jackson,36,40
Jackson,79,83
Jefferson,,
Jefferson,8,8
Jefferson,15,15
Jefferson,,
Lafayette,6,6
Lafayette,,
Lafayette,8,10
Lake,,
Lake,208,212
Lake,505,524
Lake,787,950
Lee,17,31
Lee,388,404
Lee,1419,1459
Lee,1357,1700
Leon,9,13
Leon,97,103
Leon,432,452
Leon,622,783
Levy,,
Levy,32,32
Levy,57,63
Liberty,5,5
Liberty,4,4
Liberty,,
Madison,,
Madison,,
Madison,6,6
Madison,41,41
Manatee,,
Manatee,169,172
Manatee,706,739
Manatee,803,963
Marion,7,10
Marion,231,241
Marion,464,469
Marion,785,909
Martin,,
Martin,113,118
Martin,400,412
Martin,521,585
Miami-Dade,,
Miami-Dade,3420,3608
Miami-Dade,3866,4133
Miami-Dade,8243,9159
Monroe,5,6
Monroe,145,156
Monroe,215,221
Monroe,195,228
Nassau,5,7
Nassau,80,81
Nassau,118,118
Nassau,158,186
Okaloosa,7,15
Okaloosa,106,119
Okaloosa,308,330
Okaloosa,478,590
Okeechobee,,
Okeechobee,32,32
Okeechobee,48,51
Okeechobee,96,117
Orange,14,38
Orange,1077,1238
Orange,2336,2572
Orange,2889,3581
Osceola,,
Osceola,252,257
Osceola,461,483
Osceola,533,671
Palm Beach,,
Palm Beach,967,1020
Palm Beach,3417,3586
Palm Beach,5187,5903
Pasco,14,26
Pasco,241,244
Pasco,693,727
Pasco,1018,1320
Pinellas,,
Pinellas,418,441
Pinellas,1734,1890
Pinellas,2679,3506
Polk,16,34
Polk,407,460
Polk,765,815
Polk,895,1148
Putnam,,
Putnam,37,39
Putnam,74,75
Putnam,139,159
St. Johns,,
St. Johns,135,138
St. Johns,415,425
St. Johns,580,660
St. Lucie,,
St. Lucie,171,173
St. Lucie,439,443
St. Lucie,648,788
Santa Rosa,,
Santa Rosa,48,50
Santa Rosa,171,177
Santa Rosa,245,285
Sarasota,,
Sarasota,186,192
Sarasota,1071,1106
Sarasota,1376,1589
Seminole,,
Seminole,211,221
Seminole,936,995
Seminole,1196,1411
Sumter,5,10
Sumter,39,39
Sumter,93,96
Sumter,174,202
Suwannee,,
Suwannee,,
Suwannee,31,31
Suwannee,60,70
Taylor,,
Taylor,,
Taylor,30,37
Union,,
Union,8,8
Union,9,10
Volusia,,
Volusia,249,256
Volusia,829,865
Volusia,1170,1452
Wakulla,5,9
Wakulla,13,13
Wakulla,23,23
Wakulla,,
