Geographic Area Name,Total_households,Avg_household_size
"Alachua County, Florida",97048,2.54
"Baker County, Florida",8625,2.92
"Bay County, Florida",70199,2.57
"Bradford County, Florida",8993,2.6
"Brevard County, Florida",228888,2.49
"Broward County, Florida",682088,2.77
"Calhoun County, Florida",4556,2.73
"Charlotte County, Florida",76150,2.28
"Citrus County, Florida",62762,2.24
"Clay County, Florida",73398,2.81
"Collier County, Florida",140942,2.55
"Columbia County, Florida",24985,2.57
"DeSoto County, Florida",11996,2.74
"Dixie County, Florida",6520,2.28
"Duval County, Florida",354387,2.55
"Escambia County, Florida",118740,2.47
"Flagler County, Florida",40629,2.62
"Franklin County, Florida",4297,2.35
"Gadsden County, Florida",17080,2.47
"Gilchrist County, Florida",6511,2.5
"Glades County, Florida",4433,2.71
"Gulf County, Florida",5359,2.55
"Hamilton County, Florida",4485,2.44
"Hardee County, Florida",7772,3.22
"Hendry County, Florida",12027,3.17
"Hernando County, Florida",73541,2.46
"Highlands County, Florida",41026,2.44
"Hillsborough County, Florida",516478,2.63
"Holmes County, Florida",7016,2.51
"Indian River County, Florida",57403,2.6
"Jackson County, Florida",16894,2.4
"Jefferson County, Florida",5771,2.04
"Lafayette County, Florida",2095,3.43
"Lake County, Florida",130190,2.55
"Lee County, Florida",271861,2.61
"Leon County, Florida",112918,2.43
"Levy County, Florida",16433,2.41
"Liberty County, Florida",2381,2.9
"Madison County, Florida",6682,2.45
"Manatee County, Florida",143652,2.57
"Marion County, Florida",136514,2.48
"Martin County, Florida",63865,2.41
"Miami-Dade County, Florida",870051,3.07
"Monroe County, Florida",30982,2.39
"Nassau County, Florida",31241,2.55
"Okaloosa County, Florida",77403,2.52
"Okeechobee County, Florida",13759,2.73
"Orange County, Florida",458613,2.81
"Osceola County, Florida",99158,3.4
"Palm Beach County, Florida",548216,2.6
"Pasco County, Florida",199227,2.52
"Pinellas County, Florida",407720,2.31
"Polk County, Florida",231260,2.84
"Putnam County, Florida",28264,2.52
"St. Johns County, Florida",86268,2.7
"St. Lucie County, Florida",112872,2.68
"Santa Rosa County, Florida",61345,2.68
"Sarasota County, Florida",180551,2.25
"Seminole County, Florida",167304,2.7
"Sumter County, Florida",54636,2.04
"Suwannee County, Florida",15083,2.81
"Taylor County, Florida",7356,2.47
"Union County, Florida",3892,2.5
"Volusia County, Florida",212985,2.43
"Wakulla County, Florida",11068,2.56
"Walton County, Florida",26432,2.42
"Washington County, Florida",8484,2.57
