Geographic Area Name,Total,Correctional_facilities
"Brevard County, Florida",7735,2625
"Charlotte County, Florida",3012,1603
"Alachua County, Florida",13920,1889
"Bay County, Florida",3817,1900
"Bradford County, Florida",4492,4219
"Broward County, Florida",16892,6390
"DeSoto County, Florida",3798,2736
"Baker County, Florida",2344,1646
"Calhoun County, Florida",1891,1665
"Citrus County, Florida",2251,521
"Clay County, Florida",1251,468
"Collier County, Florida",4546,897
"Dixie County, Florida",1430,1368
"Columbia County, Florida",4606,2866
"Gilchrist County, Florida",1128,30
"Duval County, Florida",19985,4629
"Escambia County, Florida",17959,3936
"Flagler County, Florida",684,302
"Franklin County, Florida",1828,1761
"Gadsden County, Florida",2161,1287
"Hillsborough County, Florida",22065,3552
"Glades County, Florida",1483,1481
"Gulf County, Florida",3450,3328
"Hamilton County, Florida",3064,2937
"Hardee County, Florida",1984,1616
"Hendry County, Florida",1942,1436
"Hernando County, Florida",1828,948
"Highlands County, Florida",1733,388
"Lake County, Florida",3987,2033
"Jefferson County, Florida",1339,1201
"Lafayette County, Florida",2094,2036
"Holmes County, Florida",1732,1464
"Indian River County, Florida",1794,480
"Jackson County, Florida",7994,7066
"Martin County, Florida",3933,2327
"Lee County, Florida",8488,1864
"Leon County, Florida",14994,2064
"Levy County, Florida",635,424
"Liberty County, Florida",1882,1763
"Madison County, Florida",1933,1524
"Manatee County, Florida",4817,1174
"Marion County, Florida",8239,6146
"Pasco County, Florida",5674,1898
"Miami-Dade County, Florida",40057,12127
"Monroe County, Florida",2020,488
"Nassau County, Florida",543,196
"Osceola County, Florida",3262,1441
"Palm Beach County, Florida",19972,6055
"Okaloosa County, Florida",4883,1834
"Okeechobee County, Florida",2503,1935
"Orange County, Florida",33704,6031
"Seminole County, Florida",3515,757
"Pinellas County, Florida",19678,3809
"Polk County, Florida",12261,5463
"Putnam County, Florida",1407,760
"St. Johns County, Florida",2798,467
"St. Lucie County, Florida",3053,1591
"Santa Rosa County, Florida",4244,3351
"Sarasota County, Florida",5622,837
"Wakulla County, Florida",3428,3406
"Sumter County, Florida",8952,8606
"Suwannee County, Florida",1393,998
"Taylor County, Florida",3254,3141
"Union County, Florida",4778,4754
"Volusia County, Florida",12809,3133
"Walton County, Florida",2065,1760
"Washington County, Florida",2694,2625
